feature,importance
rolling_mean_7,0.3697035462830077
dayofweek,0.21018189692257108
rolling_std_7,0.09276098859792388
lag_7,0.05673391219290108
lag_14,0.038082617170019706
lag_1,0.03771341688689262
rolling_mean_14,0.03650706741562545
lag_30,0.031167484833303265
rolling_std_14,0.02730869766690718
rolling_mean_30,0.026598914475074963
rolling_std_30,0.02272480655139104
day,0.021246861659735144
dayofyear,0.016854859155321145
weekofyear,0.006459617476280306
month,0.0030828917833290734
quarter,0.0015093744256195099
year,0.0013630465040967972
