ds,yhat,yhat_lower,yhat_upper
2022-01-01,2185797.7543141646,1941944.2949573004,2411232.637817122
2022-01-02,2216144.0796222794,1964477.4961952972,2442508.709478785
2022-01-03,2056860.6124721973,1824616.3851521045,2275203.4549844344
2022-01-04,2022798.5791919292,1778010.5895115652,2262463.971700675
2022-01-05,2062734.0041826097,1832668.1400629529,2305276.7699177633
2022-01-06,2074725.4544469186,1844895.0816303336,2310731.4575385367
2022-01-07,2083932.2623415063,1855499.7618785861,2299701.9625105667
2022-01-08,2264788.620916388,2044416.9691198578,2505024.786166458
2022-01-09,2258205.415816378,2008537.7230722709,2486184.3015696406
2022-01-10,2049205.9467759451,1817094.9181148454,2282459.469676392
2022-01-11,1971700.6008869114,1728427.9222401713,2205716.793828163
2022-01-12,1987604.1484414914,1750786.209139274,2228045.9603969585
2022-01-13,1997941.8394379488,1775068.8887691665,2233490.519683108
2022-01-14,2023865.3569138432,1789323.6052311051,2257994.652519746
2022-01-15,2234463.9499460254,1999802.1236850927,2481468.089814654
2022-01-16,2266046.9114754186,2035773.2516166854,2496969.8694826267
2022-01-17,2097023.1375761153,1863938.552769468,2321281.6681403983
2022-01-18,2050210.837453009,1811965.6075464615,2264605.177059851
2022-01-19,2075023.7981534603,1849138.9068720525,2300800.528985818
2022-01-20,2066591.3444850051,1837160.1335956277,2286629.8130902867
2022-01-21,2053328.5304169364,1816460.540999597,2285776.8303077416
2022-01-22,2222956.198622463,2012217.6572900582,2456110.5005537975
2022-01-23,2231331.3012701944,2002472.8371779094,2450575.6766189607
2022-01-24,2065217.918878349,1821531.290124516,2301868.496567249
2022-01-25,2040203.2414217005,1821849.9290804686,2269175.417571249
2022-01-26,2089263.424858092,1856503.9143038092,2316965.619028688
2022-01-27,2093389.9649325502,1863550.9458163872,2323760.494935573
2022-01-28,2076959.4370785267,1861842.2484209058,2328934.7488364675
2022-01-29,2233038.4281760273,1994916.5689714167,2435566.367033113
2022-01-30,2225871.162261165,2001851.2611438003,2447874.634943422
2022-01-31,2048191.9210658865,1806014.801830817,2276028.990780655
2022-02-01,2018850.1719092121,1775197.438239671,2249568.6198555664
2022-02-02,2074074.286854224,1861658.590861878,2315356.694715745
2022-02-03,2098413.887453113,1879857.312242687,2325029.0504993373
2022-02-04,2116138.208368816,1885040.1692835074,2347708.30834089
2022-02-05,2311985.8892640662,2070168.1354020345,2539013.736656115
2022-02-06,2334468.965704587,2100399.3049377087,2556615.90818911
2022-02-07,2160857.812520724,1950440.3591314568,2391175.629571257
2022-02-08,2104675.2914545494,1856346.4995204783,2311335.4381692177
2022-02-09,2111226.351423884,1882916.8378365163,2364165.322057064
2022-02-10,2083367.911048782,1830758.0248735384,2330596.905357548
2022-02-11,2062399.230483518,1815798.6828394383,2295053.8466582056
2022-02-12,2240988.859444576,2019261.3347286598,2469205.10250422
2022-02-13,2266368.317611482,2039629.184592236,2504138.6432336513
2022-02-14,2110502.5033715786,1878700.535050167,2350536.7755770735
2022-02-15,2081943.974201195,1859090.0280728948,2311159.268337387
2022-02-16,2120823.90858661,1879416.2708740428,2343828.138685946
2022-02-17,2121231.4710501335,1884566.5534786482,2351649.5822106767
2022-02-18,2111933.7264452837,1868346.315542564,2323474.5532491263
2022-02-19,2275322.67505196,2046045.489801001,2497905.9570841463
2022-02-20,2259036.119823866,2035736.8811365631,2482510.903691706
2022-02-21,2048983.5366796737,1806652.3256293267,2276852.359626741
2022-02-22,1974539.0757448273,1744676.9282087074,2214826.330371177
2022-02-23,1991139.4227207191,1763482.1678221524,2213400.0146621433
2022-02-24,1993521.2551450748,1763315.3745581706,2216452.334206793
2022-02-25,1997542.8576132157,1772359.6001414517,2239567.927247131
2022-02-26,2169120.7466372,1925215.1346210823,2407213.954813655
2022-02-27,2146636.2462110384,1920168.064475551,2364723.552585464
2022-02-28,1917515.9944051022,1703062.7988437428,2147165.007656039
2022-03-01,1819091.8707043037,1589680.3202943248,2050120.6739350043
2022-03-02,1814576.184249709,1581499.2561157853,2036479.5004559553
2022-03-03,1803321.0214035788,1587780.2835215842,2031783.2995966577
2022-03-04,1804362.4140608471,1585465.2184396177,2032162.7457024169
2022-03-05,1987409.6605591963,1760119.3868454974,2215473.2589891516
2022-03-06,1993424.63539881,1752283.5185858347,2221529.4418582893
2022-03-07,1806093.213429903,1569147.8851855327,2040496.4238334587
2022-03-08,1750157.411846486,1515395.9253293502,1966812.1481559263
2022-03-09,1771948.88478294,1550324.1790830633,2010872.7684976242
2022-03-10,1759382.7619738895,1518744.5106429227,1997389.4563223226
2022-03-11,1733359.4766454434,1493642.3523937892,1969006.7613521079
2022-03-12,1878251.0935984885,1655532.2577059176,2097152.2286068564
2022-03-13,1853863.9894522044,1635821.330446484,2088889.2706192567
2022-03-14,1656681.5272394207,1420082.2017408698,1893904.1198108636
2022-03-15,1613998.9146005416,1385897.8114891956,1838705.4546684558
2022-03-16,1667775.9146862482,1428121.8589800242,1886986.793706038
2022-03-17,1700234.1187981786,1478924.3955169676,1911002.16134417
2022-03-18,1727236.5429163554,1497908.1785189006,1961594.5410941
2022-03-19,1926140.5681526035,1707323.7082313704,2163020.860660971
2022-03-20,1945398.3696689485,1718343.184133743,2154423.852258079
2022-03-21,1768673.1984122512,1525817.505672064,2013733.1307315272
2022-03-22,1717029.4557503925,1493797.5012198817,1948067.0871578634
2022-03-23,1739455.8892653994,1510921.3393173937,1953858.9056248786
2022-03-24,1736642.8492791962,1511936.8677957912,1971254.5411608482
2022-03-25,1743815.1684101773,1515171.2911809634,1975433.0668152985
2022-03-26,1946602.2186609262,1706383.9274727036,2179511.8747177897
2022-03-27,1986340.239333093,1739489.4878792407,2222880.744877185
2022-03-28,1830358.4897105717,1587396.1967785202,2056727.1877523665
2022-03-29,1785701.396328149,1570063.2046137769,2012821.3246318828
2022-03-30,1797553.559310005,1559050.9974717598,2021045.670616607
2022-03-31,1772258.7011060596,1546521.9615436718,1998206.0631310225
2022-04-01,1753697.6000004967,1516305.8253847589,1972640.488222294
2022-04-02,1933804.9786678022,1713054.0646787079,2140966.293555986
2022-04-03,1957659.8879736476,1732763.4474233561,2196203.1524232016
2022-04-04,1796252.9846509502,1563505.0778006697,2017068.8104786796
2022-04-05,1760553.0101459005,1541341.7369619873,2012128.0546530646
2022-04-06,1796067.6599483422,1585046.01832696,2016373.6238715418
2022-04-07,1801262.207872153,1579312.2515763098,2040341.6342099167
2022-04-08,1804629.3275881372,1584595.3200992737,2032764.3959444973
2022-04-09,1982967.2258730414,1740503.9824359007,2191152.1733382223
2022-04-10,1976406.8159411661,1751053.3878309329,2208561.0289684623
2022-04-11,1765228.842796866,1541462.398333511,2007026.4945440541
2022-04-12,1678797.0507437666,1439082.4128852468,1912347.2789137026
2022-04-13,1679732.3390103264,1472102.7571408662,1904352.1386995371
2022-04-14,1674475.6507025207,1450017.9233757611,1895618.6043893825
2022-04-15,1690134.3496278364,1466660.8762310285,1923013.675096164
2022-04-16,1898049.0117013392,1668529.7597485692,2133271.1549239433
2022-04-17,1933267.4032421059,1721081.8412582278,2153322.412809423
2022-04-18,1770625.7674359533,1541829.5026953544,2000461.1198888451
2022-04-19,1730342.4315334763,1492969.7854338388,1938263.5952030008
2022-04-20,1762144.9973554963,1520100.1322013782,1983020.9661404963
2022-04-21,1761818.2854486892,1520331.300264367,1992498.670647649
2022-04-22,1756367.7335927815,1522473.1184848766,1974835.7366818516
2022-04-23,1930558.7833962017,1699729.9872564578,2160367.3801385355
2022-04-24,1939838.4144785486,1702134.2314474077,2171358.774232979
2022-04-25,1773847.461030703,1526629.834435798,2008299.9499137276
2022-04-26,1752935.8035622512,1521965.2984861515,1987924.7678752916
2022-04-27,1813517.2750181113,1582856.1959793183,2048774.8180522942
2022-04-28,1834569.391771916,1604521.4562182566,2059036.2178899283
2022-04-29,1833468.9896694128,1596773.8733811758,2062855.077588733
2022-04-30,1996199.6105476941,1760060.6617263593,2213815.305619775
2022-05-01,1986040.9716688208,1759511.4958306144,2226337.7805624944
2022-05-02,1800268.973303198,1568424.7934038083,2039575.8988457278
2022-05-03,1763740.1691964995,1519394.6512244903,1993816.6665724504
2022-05-04,1816083.6756311958,1586152.257204342,2042242.1294975032
2022-05-05,1840212.4386419065,1594484.0869336976,2058032.226974475
2022-05-06,1856218.9898444188,1636200.396247489,2078710.7314962116
2022-05-07,2046582.919941012,1837491.6092874282,2282811.3634383352
2022-05-08,2062417.4276298136,1833142.6874615115,2285499.7872227863
2022-05-09,1884511.5116993159,1656617.416321098,2123012.1843367717
2022-05-10,1826668.6357136506,1590132.3907693173,2047131.2623497038
2022-05-11,1830851.2911279837,1601963.6477525227,2045920.3602357814
2022-05-12,1795139.5943244754,1546629.1037790824,2030114.0798512746
2022-05-13,1758895.5550913566,1520180.8749888586,1993634.6605049486
2022-05-14,1917848.6752581084,1684252.4726647637,2141181.6238536574
2022-05-15,1926225.9600727768,1697826.2193194695,2153505.103872761
2022-05-16,1760894.7932823373,1540096.3721619837,2006787.5392136644
2022-05-17,1730327.845059012,1487660.6558575863,1952272.4767871348
2022-05-18,1771827.7825725004,1542145.1693351339,2006364.1520966715
2022-05-19,1776808.2953066793,1545114.9760023535,2009621.3637181981
2022-05-20,1773479.5842688151,1529400.6580479871,1993180.0707974648
2022-05-21,1944907.168261976,1717509.069762519,2169226.513659817
2022-05-22,1939273.3637233125,1716726.3331361327,2166784.4649640596
2022-05-23,1740479.1291404774,1494488.0524068393,1980000.8203665046
2022-05-24,1675332.0866807546,1445902.6380516083,1900486.2901970225
2022-05-25,1700353.8441357575,1457174.0572957038,1926752.8580139936
2022-05-26,1715057.9229750768,1484659.7410311482,1925960.7487126228
2022-05-27,1740236.495069183,1518754.9371852991,1970535.4077695296
2022-05-28,1942298.4955347758,1717542.8199890761,2168740.3301080894
2022-05-29,1955148.4900832158,1724449.869277008,2189932.232990187
2022-05-30,1758489.4605474034,1544764.205368397,1995679.2965589096
2022-05-31,1684305.2319050797,1456620.4125835737,1893452.4185133884
2022-06-01,1697346.830096938,1467196.2693073119,1938427.9279127442
2022-06-02,1703037.051876685,1489893.4135363253,1933890.1310617186
2022-06-03,1725445.4793224938,1499455.9162783423,1951233.5213169514
2022-06-04,1934224.5821753158,1704828.916933773,2168214.6846455964
2022-06-05,1966931.8321976403,1721231.6017632543,2200358.48776602
2022-06-06,1803279.5099776082,1576271.5779954512,2022469.8340618755
2022-06-07,1767070.5237806446,1537430.776898525,1999564.9752671346
2022-06-08,1807497.297768093,1576992.2034485785,2049390.2142463282
2022-06-09,1814765.4875441964,1584454.0734087203,2044922.4270339531
2022-06-10,1807885.7264926191,1584169.587546199,2033164.441680919
2022-06-11,1965764.3295829657,1745856.3528724,2198441.1565679344
2022-06-12,1944485.662225653,1714982.934472198,2158160.9766467493
2022-06-13,1740981.4307950416,1532099.6502725272,1980163.618448536
2022-06-14,1687155.4433091332,1440151.1274693012,1910582.4810156496
2022-06-15,1731067.9739972951,1499559.8373380965,1947695.6462979792
2022-06-16,1757796.3515195304,1534400.582791025,1969833.1668160707
2022-06-17,1781547.7850871126,1552172.3003351477,2004762.3029587697
2022-06-18,1976113.5082925004,1748082.083871765,2213661.9016710194
2022-06-19,1988893.6060854755,1760335.8873378418,2217498.843355967
2022-06-20,1804305.9792907657,1583858.9107680728,2043097.5577741093
2022-06-21,1743919.119272154,1533881.6047372876,1976015.0731795654
2022-06-22,1756048.5364389508,1519592.3146636079,1980930.5764653187
2022-06-23,1739538.4387192093,1521590.3256276222,1960687.8325784595
2022-06-24,1729208.4519551052,1508024.9745207445,1949483.8914772286
2022-06-25,1913853.1379325183,1678247.2902448454,2140078.9014719473
2022-06-26,1941280.6769101592,1703982.3855765013,2185144.8023390537
2022-06-27,1782740.4707189742,1551467.7317767257,2021407.2087085661
