region,product,actual_revenue,avg_daily_revenue,transaction_count,avg_revenue,expected_revenue,revenue_gap,opportunity_value,improvement_pct
Nairobi,Minute Maid,54659568.41,75916.0672361111,720,77129.45766453764,55533209.5184671,873641.108467102,873641.108467102,1.6
Mombasa,Coca-Cola,54000313.98,74689.23095435684,723,75824.81043720411,54821337.94609857,821023.9660985768,821023.9660985768,1.52
Nairobi,Sprite,53882053.33,75254.2644273743,716,76280.0286147427,54616500.48815577,734447.1581557691,734447.1581557691,1.36
Mombasa,Minute Maid,54764452.03,76167.52716272601,719,77129.45766453764,55456080.060802564,691628.0308025628,691628.0308025628,1.26
Eldoret,Fanta,54189382.2,75263.03083333334,720,76148.94655527707,54827241.51979949,637859.3197994903,637859.3197994903,1.18
Nakuru,Minute Maid,55151393.89,76386.9721468144,722,77129.45766453764,55687468.433796175,536074.5437961742,536074.5437961742,0.97
Kisumu,Dasani Water,54508357.63,75391.9192669433,723,76031.05748611111,54970454.56245833,462096.9324583262,462096.9324583262,0.85
Kisumu,Fanta,54925414.68,75759.19266206896,725,76148.94655527707,55207986.252575874,282571.5725758746,282571.5725758746,0.51
Mombasa,Dasani Water,54411562.71,75676.72143254521,719,76031.05748611111,54666330.33251388,254767.62251388282,254767.62251388282,0.47
Kisumu,Coca-Cola,53984827.17,75609.00163865546,714,75824.81043720411,54138914.65216374,154087.48216373473,154087.48216373473,0.29
Kisumu,Sprite,54888853.1,76128.78377253814,721,76280.0286147427,54997900.63122948,109047.5312294811,109047.5312294811,0.2
Nakuru,Sprite,54876770.13,76217.73629166668,720,76280.0286147427,54921620.60261474,44850.472614735365,44850.472614735365,0.08
Kisumu,Minute Maid,56298153.33,78191.879625,720,77129.45766453764,55533209.5184671,-764943.8115328997,0.0,0.0
Eldoret,Coca-Cola,54811777.39,76552.76171787709,716,75824.81043720411,54290564.27303814,-521213.11696185917,0.0,0.0
Eldoret,Dasani Water,55324441.910000004,76414.97501381216,724,76031.05748611111,55046485.619944446,-277956.2900555581,0.0,0.0
Eldoret,Minute Maid,56869609.39,78985.56859722223,720,77129.45766453764,55533209.5184671,-1336399.8715329021,0.0,0.0
Eldoret,Sprite,54977020.18,76356.97247222222,720,76280.0286147427,54921620.60261474,-55399.577385261655,0.0,0.0
Nairobi,Dasani Water,54807784.66,76121.92313888889,720,76031.05748611111,54742361.39,-65423.26999999583,0.0,0.0
Nairobi,Coca-Cola,54683321.56,75949.05772222222,720,75824.81043720411,54593863.51478696,-89458.04521304369,0.0,0.0
Mombasa,Sprite,55602006.13,77440.11995821727,718,76280.0286147427,54769060.54538526,-832945.5846147463,0.0,0.0
Mombasa,Fanta,54477696.01,76299.29413165266,714,76148.94655527707,54370347.840467826,-107348.16953217238,0.0,0.0
Nakuru,Coca-Cola,54806654.18,76332.3874373259,718,75824.81043720411,54442213.893912554,-364440.2860874459,0.0,0.0
Nairobi,Fanta,54729870.69,76545.27369230769,715,76148.94655527707,54446496.787023105,-283373.9029768929,0.0,0.0
Nakuru,Fanta,55128503.5,76887.73152022315,717,76148.94655527707,54598794.68013366,-529708.8198663369,0.0,0.0
Nakuru,Dasani Water,54659660.04,76554.14571428571,714,76031.05748611111,54286175.04508333,-373484.99491667,0.0,0.0
